gpu,harness,model,problem,correct,score,tok_s,elapsed_s,output_tokens,ctx2048,ctx8192,ctx16384,framework,kernels,megakernel,megakernel_judged,has_viewer,run_id
B200,or-fable,anthropic/claude-fable-5,02_kimi_linear_decode,true,35.435,4118,13773,,34.04,35.48,36.84,ptx,4,pass,true,true,20260721_103731_or-fable_anthropic_claude-fable-5_02_kimi_linear_decode
B200,claude,claude-opus-4-8,02_kimi_linear_decode,true,19.351,2199,9177,382429,18.61,19.16,20.32,triton,9,fail,false,true,20260618_170335_claude_claude-opus-4-8_02_kimi_linear_decode
B200,codex,gpt-5.5,02_kimi_linear_decode,true,9.370,1075,2353,64337,8.96,9.36,9.80,triton,14,fail,false,true,20260618_162338_codex_gpt-5.5_02_kimi_linear_decode
B200,zai-claude,glm-5.2,02_kimi_linear_decode,true,7.300,815,10800,42,6.88,7.25,7.79,triton,4,fail,false,true,20260618_211254_zai-claude_glm-5.2_02_kimi_linear_decode
B200,minimax-claude,MiniMax-M3,02_kimi_linear_decode,true,4.151,472,10800,0,3.93,4.13,4.40,eager,0,fail,false,true,20260618_211314_minimax-claude_MiniMax-M3_02_kimi_linear_decode
B200,gemini,gemini-3.5-flash,02_kimi_linear_decode,true,2.550,331,744,27334,2.75,2.55,2.36,triton,1,pass,false,true,20260619_002633_gemini_gemini-3.5-flash_02_kimi_linear_decode
B200,deepseek-claude,deepseek-v4-pro,02_kimi_linear_decode,true,1.562,148,5462,127269,1.56,1.57,1.56,triton,1,pass,false,true,20260619_145058_deepseek-claude_deepseek-v4-pro_02_kimi_linear_decode
B200,cursor,composer-2.5-fast,02_kimi_linear_decode,true,1.170,140,4415,20192,1.17,1.17,1.18,triton,6,fail,false,true,20260618_211434_cursor_composer-2.5-fast_02_kimi_linear_decode
B200,grok,grok-4.5,02_kimi_linear_decode,true,0.035,11,8055,,0.09,0.03,0.02,triton,13,pass,true,true,20260721_162235_grok_grok-4.5_02_kimi_linear_decode
B200,kimi-claude,kimi-k2.7-code,02_kimi_linear_decode,false,,,10800,,,,,triton,1,pass,false,true,20260618_211334_kimi-claude_kimi-k2.7-code_02_kimi_linear_decode
H100,or-opus,anthropic/claude-opus-5,02_kimi_linear_decode,true,24.292,2004,34143,,22.35,24.59,26.08,triton,14,pass,true,true,20260725_084342_or-opus_anthropic_claude-opus-5_02_kimi_linear_decode
